WORD,count
the ,17638
i ,12609
to ,9352
a ,8933
of ,8910
and ,7631
the,7180
was ,6166
it ,5628
that ,5583
you ,5481
in ,5291
he ,4923
is ,3842
she ,3415
not ,3296
to,3280
had ,3114
of,3020
i,2990
that,2960
my ,2937
his ,2825
as ,2785
at ,2751
have ,2743
and,2720
her ,2655
but ,2581
was,2530
with ,2438
it,2400
a,2340
on ,2286
in,2260
for ,2192
what ,2100
be ,2080
we ,2068
he,1910
poirot ,1902
me ,1863
you,1850
had,1600
been ,1529
there ,1428
mrs. ,1425
very ,1400
said ,1386
one ,1380
not,1380
do ,1357
her,1320
will ,1305
are ,1304
this ,1298
did ,1265
would ,1236
from ,1227
mr. ,1222
no ,1222
an ,1215
by ,1212
she,1150
inglethorp ,1140
were ,1129
up ,1091
is,1090
his,1080
out ,1064
all ,1014
him ,1013
but,1000
so ,993
if ,987
on,980
at,970
have,940
little ,922
could ,921
"yes, ",907
or ,880
as,870
for,860
about ,850
some ,841
john ,782
"no, ",772
it. ,771
your ,766
mrs,760
quite ,742
with,740
inglethorp,730
don't ,729
know ,728
who ,726
been,720
no,710
my,710
has ,699
be,690
into ,684
will,680
miss ,679
which ,677
then ,674
how ,664
poirot,660
they ,658
must ,655
when ,648
me. ,646
by,630
there,630
tell ,625
down ,624
should ,623
"well, ",619
think ,619
him,590
see ,584
did,580
never ,574
am ,559
can ,544
any ,542
"poirot, ",542
"you, ",529
went ,528
what,520
would,520
looked ,518
"oh, ",516
after ,515
rather ,513
good ,511
us ,507
only ,506
like ,505
come ,505
cavendish,500
all,500
"me, ",498
dr. ,492
over ,489
cynthia ,485
came ,482
from,480
say ,476
two ,470
one,470
now ,465
might ,462
who,460
man ,458
sir. ,448
mr,440
room,440
time ,439
inglethorp's ,434
where ,434
made ,429
just ,428
more ,426
take ,425
alfred ,422
this,420
yes,420
me,420
do,420
"said, ",414
so,410
cavendish ,408
took ,407
lawrence ,407
turned ,406
told ,405
nothing ,402
go ,400
old ,394
last ,391
which,390
make ,389
mary ,389
thought ,388
him. ,387
always ,382
something ,382
them ,381
john,380
were,380
through ,372
